Sample 00067: {'mpuData': {'accelX': 42240, 'accelY': 28438, 'accelZ': 64282}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00068: {'mpuData': {'accelX': 42752, 'accelY': 18710, 'accelZ': 61978}, 'adcData': {'adcX': 0, 'adcY': 7424, 'adcZ': 38150}}
Sample 00069: {'mpuData': {'accelX': 38656, 'accelY': 18710, 'accelZ': 61210}, 'adcData': {'adcX': 0, 'adcY': 16130, 'adcZ': 58632}}
Sample 00070: {'mpuData': {'accelX': 42752, 'accelY': 21526, 'accelZ': 62234}, 'adcData': {'adcX': 0, 'adcY': 20489, 'adcZ': 64781}}
Sample 00071: {'mpuData': {'accelX': 41984, 'accelY': 23062, 'accelZ': 6171}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00072: {'mpuData': {'accelX': 39680, 'accelY': 16150, 'accelZ': 63002}, 'adcData': {'adcX': 0, 'adcY': 0, 'adcZ': 26118}}
Sample 00073: {'mpuData': {'accelX': 34560, 'accelY': 23062, 'accelZ': 12315}, 'adcData': {'adcX': 0, 'adcY': 19970, 'adcZ': 59400}}
Sample 00074: {'mpuData': {'accelX': 42752, 'accelY': 10262, 'accelZ': 61210}, 'adcData': {'adcX': 0, 'adcY': 18185, 'adcZ': 59661}}
Sample 00075: {'mpuData': {'accelX': 33280, 'accelY': 30998, 'accelZ': 25627}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00076: {'mpuData': {'accelX': 42496, 'accelY': 10774, 'accelZ': 2075}, 'adcData': {'adcX': 0, 'adcY': 2816, 'adcZ': 29958}}
Sample 00077: {'mpuData': {'accelX': 37632, 'accelY': 15638, 'accelZ': 539}, 'adcData': {'adcX': 0, 'adcY': 17154, 'adcZ': 57864}}
Sample 00078: {'mpuData': {'accelX': 36096, 'accelY': 21526, 'accelZ': 13339}, 'adcData': {'adcX': 0, 'adcY': 26121, 'adcZ': 64525}}
Sample 00079: {'mpuData': {'accelX': 35840, 'accelY': 27158, 'accelZ': 12059}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00080: {'mpuData': {'accelX': 33280, 'accelY': 13846, 'accelZ': 48922}, 'adcData': {'adcX': 0, 'adcY': 768, 'adcZ': 25606}}
Sample 00081: {'mpuData': {'accelX': 34560, 'accelY': 15894, 'accelZ': 14619}, 'adcData': {'adcX': 0, 'adcY': 19714, 'adcZ': 58888}}
Sample 00082: {'mpuData': {'accelX': 36352, 'accelY': 19990, 'accelZ': 3355}, 'adcData': {'adcX': 0, 'adcY': 22281, 'adcZ': 62989}}
Sample 00083: {'mpuData': {'accelX': 31744, 'accelY': 19990, 'accelZ': 65050}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00084: {'mpuData': {'accelX': 39168, 'accelY': 27158, 'accelZ': 13083}, 'adcData': {'adcX': 0, 'adcY': 2816, 'adcZ': 28934}}
Sample 00085: {'mpuData': {'accelX': 39936, 'accelY': 19222, 'accelZ': 58138}, 'adcData': {'adcX': 0, 'adcY': 22018, 'adcZ': 59912}}
Sample 00086: {'mpuData': {'accelX': 37120, 'accelY': 21270, 'accelZ': 60698}, 'adcData': {'adcX': 0, 'adcY': 19209, 'adcZ': 59405}}
Sample 00087: {'mpuData': {'accelX': 43520, 'accelY': 21014, 'accelZ': 60954}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00088: {'mpuData': {'accelX': 36096, 'accelY': 16918, 'accelZ': 539}, 'adcData': {'adcX': 0, 'adcY': 4608, 'adcZ': 28934}}
Sample 00089: {'mpuData': {'accelX': 41728, 'accelY': 26390, 'accelZ': 57114}, 'adcData': {'adcX': 0, 'adcY': 20482, 'adcZ': 59144}}
Sample 00090: {'mpuData': {'accelX': 43520, 'accelY': 24086, 'accelZ': 11291}, 'adcData': {'adcX': 0, 'adcY': 24329, 'adcZ': 61453}}
Sample 00091: {'mpuData': {'accelX': 42496, 'accelY': 25110, 'accelZ': 59674}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00092: {'mpuData': {'accelX': 43008, 'accelY': 21270, 'accelZ': 3099}, 'adcData': {'adcX': 0, 'adcY': 0, 'adcZ': 24582}}
Sample 00093: {'mpuData': {'accelX': 40448, 'accelY': 24598, 'accelZ': 62234}, 'adcData': {'adcX': 0, 'adcY': 19714, 'adcZ': 58120}}
Sample 00094: {'mpuData': {'accelX': 47104, 'accelY': 27158, 'accelZ': 4635}, 'adcData': {'adcX': 0, 'adcY': 22281, 'adcZ': 58893}}
Sample 00095: {'mpuData': {'accelX': 43520, 'accelY': 26390, 'accelZ': 1563}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00096: {'mpuData': {'accelX': 41984, 'accelY': 20502, 'accelZ': 3099}, 'adcData': {'adcX': 0, 'adcY': 0, 'adcZ': 24582}}
Sample 00097: {'mpuData': {'accelX': 42752, 'accelY': 25878, 'accelZ': 539}, 'adcData': {'adcX': 0, 'adcY': 27394, 'adcZ': 61448}}
Sample 00098: {'mpuData': {'accelX': 38400, 'accelY': 24086, 'accelZ': 12315}, 'adcData': {'adcX': 0, 'adcY': 55817, 'adcZ': 16398}}
